benchmark_name,algorithm,problem_size,runs_per_sample,sample_count,best_ns_per_run,mean_ns_per_run,median_ns_per_run,stddev_ns,fit_slope_ns_per_run,fit_intercept_ns,fit_r_squared,notes,domain,case_id,config_algorithm,rows,cols,cache_block_cols,config_notes,variant_param,variant_label,stability_cv,ns_per_element,mean_ns_per_element,median_ns_per_element,baseline_best_ns_per_run,speedup_vs_baseline
matrix_dot,matrix_dot_cache,16384,16,3,101189.0625,101845.3125,101959.375,495.8634225814268,100736.60714285714,31500,0.9999925329796991,m_128_cache_16:cache_tile_16_size_128; digest=13064476336938546383,matrix_dot,m_128_cache_16,cache,128,128,16,cache_tile_16_size_128,16.0,cache_16,0.004868789838328856,6.176090240478516,6.216144561767578,6.223106384277344,83946.875,0.8296042371180186
matrix_dot,matrix_dot_cache,16384,16,3,89651.5625,93907.8125,90990.625,5101.75958335496,86194.64285714286,204300,0.9995474178304886,m_128_cache_32:cache_tile_32_size_128; digest=13064476336938546383,matrix_dot,m_128_cache_32,cache,128,128,32,cache_tile_32_size_128,32.0,cache_32,0.05432731790398121,5.471897125244141,5.731678009033203,5.553627014160156,83946.875,0.9363682311727696
matrix_dot,matrix_dot_cache,16384,16,3,80893.75,83080.72916666667,83331.25,1692.68124978333,86436.16071428571,-92950,0.9999928455945114,m_128_cache_64:cache_tile_64_size_128; digest=13064476336938546383,matrix_dot,m_128_cache_64,cache,128,128,64,cache_tile_64_size_128,64.0,cache_64,0.020373933483271125,4.9373626708984375,5.070845286051433,5.0861358642578125,83946.875,1.037742409024183
matrix_dot,matrix_dot_cache,16384,16,3,79714.0625,82809.89583333331,82193.75,2813.219333164952,78033.03571428571,148600,0.9967730600704624,m_128_cache_128:cache_tile_128_size_128; digest=13064476336938546383,matrix_dot,m_128_cache_128,cache,128,128,128,cache_tile_128_size_128,128.0,cache_128,0.033972018740694415,4.865360260009766,5.054314931233723,5.0167083740234375,83946.875,1.0530999470764648
matrix_dot,matrix_dot_naive,16384,16,3,83946.875,85409.375,85137.5,1319.2016406713567,88173.66071428571,-83250,0.9995472167616166,m_128_naive:baseline_size_128; digest=13064476336938546383,matrix_dot,m_128_naive,naive,128,128,64,baseline_size_128,,naive,0.015445630420212731,5.123710632324219,5.212974548339844,5.196380615234375,83946.875,1.0
matrix_dot,matrix_dot_cache,36864,16,3,219239.0625,222182.8125,220443.75,3347.573018947832,217805.35714285716,141300,0.9993940412964074,m_192_cache_16:cache_tile_16_size_192; digest=10614270075660950329,matrix_dot,m_192_cache_16,cache,192,192,16,cache_tile_16_size_192,16.0,cache_16,0.015066750579313296,5.9472401936848955,6.0270945231119795,5.97991943359375,185387.5,0.845595205005951
matrix_dot,matrix_dot_cache,36864,16,3,199050.0,200135.41666666663,200100.0,901.0458814930323,202051.78571428568,-53800,0.999997609649845,m_192_cache_32:cache_tile_32_size_192; digest=10614270075660950329,matrix_dot,m_192_cache_32,cache,192,192,32,cache_tile_32_size_192,32.0,cache_32,0.004502181055708693,5.399576822916667,5.429020634403934,5.428059895833333,185387.5,0.9313614669680985
matrix_dot,matrix_dot_cache,36864,16,3,184221.875,185805.2083333333,185493.75,1436.9163972336348,188827.23214285716,-90950,0.9998837622492864,m_192_cache_64:cache_tile_64_size_192; digest=10614270075660950329,matrix_dot,m_192_cache_64,cache,192,192,64,cache_tile_64_size_192,64.0,cache_64,0.007733455967799441,4.997338189019097,5.040288854528356,5.031840006510417,185387.5,1.0063272887652457
matrix_dot,matrix_dot_cache,36864,16,3,182846.875,186202.0833333333,187478.125,2395.039270583864,180632.5892857143,161050,0.9998657385905784,m_192_cache_128:cache_tile_128_size_192; digest=10614270075660950329,matrix_dot,m_192_cache_128,cache,192,192,128,cache_tile_128_size_192,128.0,cache_128,0.012862580416441085,4.96003892686632,5.051054777922453,5.085669623480903,185387.5,1.0138948231956384
matrix_dot,matrix_dot_naive,36864,16,3,185387.5,189290.625,190271.875,2871.386996078724,194439.73214285716,-140250,0.9999983704617956,m_192_naive:baseline_size_192; digest=10614270075660950329,matrix_dot,m_192_naive,naive,192,192,64,baseline_size_192,,naive,0.01516919813687933,5.028957790798611,5.134836832682292,5.16145494249132,185387.5,1.0
matrix_dot,matrix_dot_cache,65536,16,3,363068.75,368732.2916666666,368093.75,4905.768509636271,378726.78571428574,-302500,0.9996422312850648,m_256_cache_16:cache_tile_16_size_256; digest=12923839507462904676,matrix_dot,m_256_cache_16,cache,256,256,16,cache_tile_16_size_256,16.0,cache_16,0.013304417921908174,5.539989471435547,5.626408259073893,5.616664886474609,332187.5,0.9149437950801329
matrix_dot,matrix_dot_cache,65536,16,3,326850.0,334720.83333333326,333462.5,6997.025657774563,350191.0714285714,-438200,0.999899872955827,m_256_cache_32:cache_tile_32_size_256; digest=12923839507462904676,matrix_dot,m_256_cache_32,cache,256,256,32,cache_tile_32_size_256,32.0,cache_32,0.020904063807724044,4.987335205078125,5.107434590657551,5.088233947753906,332187.5,1.016330120850543
matrix_dot,matrix_dot_cache,65536,16,3,325559.375,329122.9166666667,327768.75,3592.420345807576,323716.51785714284,171050,0.999684702527074,m_256_cache_64:cache_tile_64_size_256; digest=12923839507462904676,matrix_dot,m_256_cache_64,cache,256,256,64,cache_tile_64_size_256,64.0,cache_64,0.01091513280871278,4.967641830444336,5.022017161051433,5.001354217529297,332187.5,1.0203591894719666
matrix_dot,matrix_dot_cache,65536,16,3,320720.3125,328553.64583333326,322956.25,9540.72738621955,317043.75,376000,0.99769733952709,m_256_cache_128:cache_tile_128_size_256; digest=12923839507462904676,matrix_dot,m_256_cache_128,cache,256,256,128,cache_tile_128_size_256,128.0,cache_128,0.02903856800012292,4.893803596496582,5.013330777486164,4.927921295166016,332187.5,1.035754478444517
matrix_dot,matrix_dot_cache,65536,16,3,305612.5,327537.5,333103.125,16117.39181785988,339415.625,-267150,0.9980985685923232,m_256_cache_256:cache_tile_256_size_256; digest=12923839507462904676,matrix_dot,m_256_cache_256,cache,256,256,256,cache_tile_256_size_256,256.0,cache_256,0.04920777565274168,4.663276672363281,4.997825622558594,5.08275032043457,332187.5,1.0869565217391304
matrix_dot,matrix_dot_naive,65536,16,3,332187.5,345890.625,344315.625,11883.845663774697,322174.5535714286,657750,0.9999676734893348,m_256_naive:baseline_size_256; digest=12923839507462904676,matrix_dot,m_256_naive,naive,256,256,64,baseline_size_256,,naive,0.034357235509851404,5.068778991699219,5.277872085571289,5.253839492797852,332187.5,1.0
matrix_dot,matrix_dot_cache,147456,16,3,810067.1875,819261.9791666665,822156.25,6648.748258666292,803912.9464285715,441350,0.9999591265987492,m_384_cache_16:cache_tile_16_size_384; digest=14173234167593883340,matrix_dot,m_384_cache_16,cache,384,384,16,cache_tile_16_size_384,16.0,cache_16,0.008115533770320012,5.4936197068956165,5.555975878680193,5.575603908962673,753912.5,0.9306789753164765
matrix_dot,matrix_dot_cache,147456,16,3,736625.0,745329.6875,740987.5,9395.870086079263,767075.4464285715,-626250,0.9999037500086912,m_384_cache_32:cache_tile_32_size_384; digest=14173234167593883340,matrix_dot,m_384_cache_32,cache,384,384,32,cache_tile_32_size_384,32.0,cache_32,0.012606327432890916,4.995557996961805,5.054590437147352,5.025143093532986,753912.5,1.0234685219752249
matrix_dot,matrix_dot_cache,147456,16,3,736281.25,743432.2916666665,739365.625,8031.4414428112195,762081.6964285715,-538450,0.999920373200358,m_384_cache_64:cache_tile_64_size_384; digest=14173234167593883340,matrix_dot,m_384_cache_64,cache,384,384,64,cache_tile_64_size_384,64.0,cache_64,0.010803191538540655,4.993226793077257,5.041722898130063,5.014144049750434,753912.5,1.02394635202241
matrix_dot,matrix_dot_cache,147456,16,3,706035.9375,724243.2291666665,728531.25,13461.534001663833,693643.3035714285,873950,0.9998409283267856,m_384_cache_128:cache_tile_128_size_384; digest=14173234167593883340,matrix_dot,m_384_cache_128,cache,384,384,128,cache_tile_128_size_384,128.0,cache_128,0.01858703465844345,4.788112640380859,4.911588739465783,4.9406687418619795,753912.5,1.0678103761538342
matrix_dot,matrix_dot_cache,147456,16,3,668962.5,700497.3958333334,697579.6875,27018.170496924253,700417.4107142857,140050,0.9975345224866756,m_384_cache_256:cache_tile_256_size_384; digest=14173234167593883340,matrix_dot,m_384_cache_256,cache,384,384,256,cache_tile_256_size_384,256.0,cache_256,0.03856997992802329,4.536692301432292,4.750552000822845,4.730765024820964,753912.5,1.126987686155801
matrix_dot,matrix_dot_naive,147456,16,3,753912.5,763922.9166666665,762525.0,8799.86140594776,746562.5,480500,0.9999978551804348,m_384_naive:baseline_size_384; digest=14173234167593883340,matrix_dot,m_384_naive,naive,384,384,64,baseline_size_384,,naive,0.011519305435089507,5.112796359592014,5.180683842411747,5.17120361328125,753912.5,1.0
matrix_dot,matrix_dot_cache,262144,16,3,1486779.6875,1509354.6875,1497318.75,24848.953104257816,1475599.107142857,1083600,0.9992715079553652,m_512_cache_16:cache_tile_16_size_512; digest=4939301634244250759,matrix_dot,m_512_cache_16,cache,512,512,16,cache_tile_16_size_512,16.0,cache_16,0.016463296076163553,5.671614408493042,5.757731199264526,5.711817741394043,1631173.4375,1.0971184575724169
matrix_dot,matrix_dot_cache,262144,16,3,1371856.25,1377925.5208333333,1372721.875,7978.98549484267,1396507.142857143,-541100,0.9999676781226556,m_512_cache_32:cache_tile_32_size_512; digest=4939301634244250759,matrix_dot,m_512_cache_32,cache,512,512,32,cache_tile_32_size_512,32.0,cache_32,0.005790578209203346,5.233216285705566,5.25636871655782,5.236518383026123,1631173.4375,1.1890265015011594
matrix_dot,matrix_dot_cache,262144,16,3,1330993.75,1335559.8958333333,1332367.1875,5514.915903033765,1329434.375,153250,0.9999921309461692,m_512_cache_64:cache_tile_64_size_512; digest=4939301634244250759,matrix_dot,m_512_cache_64,cache,512,512,64,cache_tile_64_size_512,64.0,cache_64,0.004129291333349516,5.077338218688965,5.094756682713826,5.082577466964722,1631173.4375,1.2255305011762827
matrix_dot,matrix_dot_cache,262144,16,3,1283118.75,1292667.7083333333,1294571.875,7147.290758810097,1297024.107142857,-91400,0.9999700757733582,m_512_cache_128:cache_tile_128_size_512; digest=4939301634244250759,matrix_dot,m_512_cache_128,cache,512,512,128,cache_tile_128_size_512,128.0,cache_128,0.005529101340378702,4.894709587097168,4.931135972340901,4.938399791717529,1631173.4375,1.2712568010560208
matrix_dot,matrix_dot_cache,262144,16,3,1279634.375,1281760.4166666667,1281940.625,1667.212801146139,1281765.625,-8650,0.999997189498312,m_512_cache_256:cache_tile_256_size_512; digest=4939301634244250759,matrix_dot,m_512_cache_256,cache,512,512,256,cache_tile_256_size_512,256.0,cache_256,0.0013007210859903725,4.881417751312256,4.889527956644694,4.8902153968811035,1631173.4375,1.2747183643765432
matrix_dot,matrix_dot_naive,262144,16,3,1631173.4375,1638146.3541666667,1635903.125,6796.837204556473,1625872.3214285714,334700,0.9999999073570768,m_512_naive:baseline_size_512; digest=4939301634244250759,matrix_dot,m_512_naive,naive,512,512,64,baseline_size_512,,naive,0.0041491025434135026,6.222432851791382,6.2490324179331465,6.240475177764893,1631173.4375,1.0
matrix_dot,matrix_dot_cache,589824,16,3,3359195.3125,3390647.395833333,3401218.75,22634.722039790468,3339712.5,1509700,0.9999274424959784,m_768_cache_16:cache_tile_16_size_768; digest=17702062449183340215,matrix_dot,m_768_cache_16,cache,768,768,16,cache_tile_16_size_768,16.0,cache_16,0.006675634295564207,5.695250299241808,5.748574822037308,5.7664977179633246,3602187.5,1.072336427297274
matrix_dot,matrix_dot_cache,589824,16,3,3097200.0,3102309.375,3099425.0,5724.956217991249,3115600.8928571427,-383700,0.9999975939726012,m_768_cache_32:cache_tile_32_size_768; digest=17702062449183340215,matrix_dot,m_768_cache_32,cache,768,768,32,cache_tile_32_size_768,32.0,cache_32,0.0018453853326576267,5.251057942708333,5.25972048441569,5.254830254448785,3602187.5,1.1630464613199019
matrix_dot,matrix_dot_cache,589824,16,3,2981764.0625,3001803.645833333,2985153.125,25980.688263629767,2965071.4285714286,961900,0.999984901949354,m_768_cache_64:cache_tile_64_size_768; digest=17702062449183340215,matrix_dot,m_768_cache_64,cache,768,768,64,cache_tile_64_size_768,64.0,cache_64,0.008655025887416847,5.0553454293145075,5.089320959868254,5.061091317070855,3602187.5,1.2080726122172853
matrix_dot,matrix_dot_cache,589824,16,3,2885481.25,2917851.0416666665,2917846.875,26431.525419928104,2922468.75,200,0.999879797706754,m_768_cache_128:cache_tile_128_size_768; digest=17702062449183340215,matrix_dot,m_768_cache_128,cache,768,768,128,cache_tile_128_size_768,128.0,cache_128,0.009058558864893427,4.892105526394314,4.946985951176396,4.9469788869222,3602187.5,1.2483836101863424
matrix_dot,matrix_dot_cache,589824,16,3,2862937.5,2883064.583333333,2876381.25,19736.30216793128,2926150.0,-1286900,0.999917653062692,m_768_cache_256:cache_tile_256_size_768; digest=17702062449183340215,matrix_dot,m_768_cache_256,cache,768,768,256,cache_tile_256_size_768,256.0,cache_256,0.006845598354620492,4.853884379069011,4.888008258960864,4.87667719523112,3602187.5,1.2582138101163578
matrix_dot,matrix_dot_naive,589824,16,3,3602187.5,3727486.9791666665,3789800.0,88600.53795583505,3844365.625,-3023350,0.9998562927044722,m_768_naive:baseline_size_768; digest=17702062449183340215,matrix_dot,m_768_naive,naive,768,768,64,baseline_size_768,,naive,0.02376950971285297,6.107224358452691,6.3196597275910555,6.425306532118055,3602187.5,1.0
matrix_dot,matrix_dot_cache,1048576,16,3,5908212.5,6007784.375,6021190.625,76417.27719505747,6157412.053571428,-4135950,0.9999982900643096,m_1024_cache_16:cache_tile_16_size_1024; digest=1390044789617888298,matrix_dot,m_1024_cache_16,cache,1024,1024,16,cache_tile_16_size_1024,16.0,cache_16,0.012719710366612062,5.634510517120361,5.729469656944275,5.742254853248596,7245973.4375,1.2264239712941942
matrix_dot,matrix_dot_cache,1048576,16,3,5556921.875,5763546.354166667,5570981.25,282328.01146624685,6418353.571428572,-19161100,0.9977722378068836,m_1024_cache_32:cache_tile_32_size_1024; digest=1390044789617888298,matrix_dot,m_1024_cache_32,cache,1024,1024,32,cache_tile_32_size_1024,32.0,cache_32,0.04898512029180475,5.299493670463562,5.496546129385631,5.312901735305786,7245973.4375,1.3039545274334094
matrix_dot,matrix_dot_cache,1048576,16,3,5463046.875,5873910.9375,5526904.6875,536528.9759065252,5220348.214285715,16656300,0.9962381545972782,m_1024_cache_64:cache_tile_64_size_1024; digest=1390044789617888298,matrix_dot,m_1024_cache_64,cache,1024,1024,64,cache_tile_64_size_1024,64.0,cache_64,0.09134101310274167,5.209967494010925,5.601797997951508,5.270867049694061,7245973.4375,1.3263612052569107
matrix_dot,matrix_dot_cache,1048576,16,3,5188656.25,5253616.666666667,5223875.0,68490.64913619393,5155784.821428572,3118100,0.999546630709526,m_1024_cache_128:cache_tile_128_size_1024; digest=1390044789617888298,matrix_dot,m_1024_cache_128,cache,1024,1024,128,cache_tile_128_size_1024,128.0,cache_128,0.013036856984780755,4.948288202285767,5.010239283243815,4.981875419616699,7245973.4375,1.396502887910526
matrix_dot,matrix_dot_cache,1048576,16,3,4981025.0,5058044.270833333,5071667.1875,58128.162021033975,5090454.464285715,-653900,0.9998639684223464,m_1024_cache_256:cache_tile_256_size_1024; digest=1390044789617888298,matrix_dot,m_1024_cache_256,cache,1024,1024,256,cache_tile_256_size_1024,256.0,cache_256,0.011492220887868412,4.750275611877441,4.823726912339528,4.836718738079071,7245973.4375,1.4547153321856445
matrix_dot,matrix_dot_naive,1048576,16,3,7245973.4375,8000271.354166667,7604790.625,826107.597641737,6650691.964285715,36206300,0.9990527880992478,m_1024_naive:baseline_size_1024; digest=1390044789617888298,matrix_dot,m_1024_naive,naive,1024,1024,64,baseline_size_1024,,naive,0.10325994720310169,6.910298764705658,7.6296533147494,7.252493500709534,7245973.4375,1.0
matrix_dot,matrix_dot_cache,2359296,16,3,13853737.5,14033688.541666666,14039118.75,144763.46894943595,14333642.857142856,-8377000,0.9999930424601396,m_1536_cache_16:cache_tile_16_size_1536; digest=10901834921722660545,matrix_dot,m_1536_cache_16,cache,1536,1536,16,cache_tile_16_size_1536,16.0,cache_16,0.01031542552192366,5.871979395548503,5.948252589614302,5.950554211934407,22458706.25,1.6211297673281309
matrix_dot,matrix_dot_cache,2359296,16,3,12461068.75,12591024.479166666,12610879.6875,99003.10690237848,12606496.875,-953050,0.9998878092020091,m_1536_cache_32:cache_tile_32_size_1536; digest=10901834921722660545,matrix_dot,m_1536_cache_32,cache,1536,1536,32,cache_tile_32_size_1536,32.0,cache_32,0.007862990582393894,5.281689431932238,5.336771850232725,5.345187584559123,22458706.25,1.802309793852955
matrix_dot,matrix_dot_cache,2359296,16,3,11965807.8125,12050254.6875,12061056.25,64991.23146735434,11907031.696428573,4053450,0.999992963154738,m_1536_cache_64:cache_tile_64_size_1536; digest=10901834921722660545,matrix_dot,m_1536_cache_64,cache,1536,1536,64,cache_tile_64_size_1536,64.0,cache_64,0.005393349199064747,5.071770482593113,5.107563734054565,5.112142033047146,22458706.25,1.876906816649576
matrix_dot,matrix_dot_cache,2359296,16,3,11623071.875,11702858.333333334,11677278.125,77722.49875078625,11562427.232142856,3829750,0.9999997674490688,m_1536_cache_128:cache_tile_128_size_1536; digest=10901834921722660545,matrix_dot,m_1536_cache_128,cache,1536,1536,128,cache_tile_128_size_1536,128.0,cache_128,0.006641326121961907,4.926500055525038,4.960317964907046,4.949475659264459,22458706.25,1.9322522041962336
matrix_dot,matrix_dot_cache,2359296,16,3,11361390.625,11504512.5,11535584.375,106465.22909621907,11537332.589285716,-1491450,0.9998324742431236,m_1536_cache_256:cache_tile_256_size_1536; digest=10901834921722660545,matrix_dot,m_1536_cache_256,cache,1536,1536,256,cache_tile_256_size_1536,256.0,cache_256,0.009254214734976304,4.815585083431667,4.876248041788737,4.889418019188775,22458706.25,1.9767568065638972
matrix_dot,matrix_dot_naive,2359296,16,3,22458706.25,23398195.3125,22658242.1875,1190335.581101562,21995491.517857146,35517750,0.9988486777403216,m_1536_naive:baseline_size_1536; digest=10901834921722660545,matrix_dot,m_1536_naive,naive,1536,1536,64,baseline_size_1536,,naive,0.050872965423348265,9.519240591261122,9.917447964350382,9.603814946280586,22458706.25,1.0
